Rank,Card Name,Set,Max Price (USD),Avg Price (USD),Min Price (USD),Listings,1Mo Trend %,6Mo Trend %,12Mo Trend %,Sold Count
82,"Silver Tempest Elite Trainer Box Case","SWSH12: Silver Tempest",916.37,916.37,916.37,1,0,0,0,0
83,"French Magneton Mint","Unknown Set",899.95,899.95,899.95,1,0,0,0,0
84,"Celebrations Ultra-Premium Collection","Celebrations",876.75,876.75,876.75,1,0,0,0,0
85,"Blastoise","Base Set (Shadowless)",873.99,318.73,91.39,5,0,0,0,0
86,"2020 POKÉMON SWSH","Unknown Set",850,850,850,1,0,0,0,0
87,"1996 Pocket Monster","Base Set",850,850,850,1,0,0,0,0
88,"Evolving Skies Pokemon Center Elite Trainer Box [Jolteon/Flareon/Umbreon/Leafeon] (Exclusive)","SWSH07: Evolving Skies",813.2,813.2,813.2,1,0,0,0,0
89,"Celebrations Collector Chest Case","Celebrations",812.38,812.38,812.38,1,0,0,0,0
90,"Umbreon SSR 229/150","Unknown Set",808.88,808.88,808.88,1,0,0,0,0
91,"Alakazam (H1)","Skyridge",800,403.91,140,5,0,0,0,0
92,"Evolving Skies Pokemon Center Elite Trainer Box [Glaceon/Vaporeon/Sylveon/Espeon] (Exclusive)","SWSH07: Evolving Skies",787.11,787.11,787.11,1,0,0,0,0
93,"Shining Mewtwo","Neo Destiny",769.28,448.59,0.25,5,0,0,0,0
94,"Celebrations Lot Plus","Celebrations",750,750,750,1,0,0,0,0
95,"Charizard Base Set","Base Set",750,750,750,1,0,0,0,0
96,"GEM MINT GIOVANNI'S","Gym Challenge",750,750,750,1,0,0,0,0
97,"Dark Scizor","Neo Destiny",749.84,236.3,43.93,8,0,0,0,0
98,"Neo Genesis Booster Pack [1st Edition]","Neo Genesis",721,721,721,1,0,0,0,0
99,"Umbreon VMAX (Alternate Art Secret)","SWSH07: Evolving Skies",702.5,702.5,702.5,1,0,0,0,0
100,"Crobat (147)","Skyridge",700,303.95,175,8,0,0,0,0
101,"Promo Starters Set","Unknown Set",699.99,699.99,699.99,1,0,0,0,0
102,"Charizard (6)","Expedition",699.98,254.52,73,9,0,0,0,0
103,"1999 French Electhor","Unknown Set",699.95,699.95,699.95,1,0,0,0,0
104,"Dark Gengar","Neo Destiny",699.69,330.1,107.53,7,0,0,0,0
105,"Pokémon Center Exclusive","Unknown Set",695,695,695,1,0,0,0,0
106,"GEM MINT Hitmonchan","Unknown Set",689.99,689.99,689.99,1,0,0,0,0
107,"Gym Heroes Theme Deck - "Lt. Surge"","Gym Heroes",650,650,650,1,0,0,0,0
108,"Gym Challenge Theme Deck - "Sabrina"","Gym Challenge",649.99,649.99,649.99,1,0,0,0,0
109,"Topsun Booster PACK","Unknown Set",648.88,648.88,648.88,1,0,0,0,0
110,"Evolving Skies Elite Trainer Box [Set of 2]","SWSH07: Evolving Skies",647.02,647.02,647.02,1,0,0,0,0
111,"Umbreon (H29)","Aquapolis",630.99,418.47,279.99,5,0,0,0,0
112,"Aquapolis Tentacruel (0478)","Aquapolis",616,616,616,1,0,0,0,0
113,"Tyranitar (H28)","Aquapolis",615.95,328.86,106.67,5,0,0,0,0
114,"Shining Charizard","Neo Destiny",600,600,600,1,0,0,0,0
115,"Houndoom (H11)","Skyridge",600,297.88,139.99,5,0,0,0,0
116,"Gym Challenge Theme Deck - "Blaine"","Gym Challenge",599.99,599.99,599.99,1,0,0,0,0
117,"Flareon (H7)","Skyridge",599.99,307.14,164.99,4,0,0,0,0
118,"Kabutops (150)","Skyridge",599,249.2,121.43,7,0,0,0,0
119,"Neo Genesis Booster Pack [Unlimited Edition]","Neo Genesis",580,580,580,1,0,0,0,0
120,"Mystery Box €500","Unknown Set",578.2,578.2,578.2,1,0,0,0,0
121,"Fusion Strike Build & Battle Box Display","SWSH08: Fusion Strike",568.92,568.92,568.92,1,0,0,0,0
122,"Pikachu VMax Astonishing","Unknown Set",558.6,558.6,558.6,1,0,0,0,0
123,"Houndoom (H11)","Aquapolis",556.66,282.02,64.98,5,0,0,0,0
124,"Gengar (13)","Expedition",555,158.08,56.26,10,0,0,0,0
125,"Dragonair","Base Set (Shadowless)",554.98,102.7,5.75,7,0,0,0,0
126,"2016 Charizard Evolutions","Unknown Set",550,550,550,1,0,0,0,0
127,"1999 lot","Unknown Set",550,550,550,1,0,0,0,0
128,"Neo Discovery Booster Pack [1st Edition]","Neo Discovery",549.99,549.99,549.99,1,0,0,0,0
129,"Neo Destiny Theme Deck - "Dark"","Neo Destiny",549,549,549,1,0,0,0,0
130,"Base Set 2 - 2-Player CD-ROM Starter Set","Base Set 2",545.39,545.39,545.39,1,0,0,0,0
131,"Brilliant Stars Booster Box","SWSH09: Brilliant Stars",540.58,540.58,540.58,1,0,0,0,0
132,"Umbreon 112/115 Great","Unknown Set",522,522,522,1,0,0,0,0
133,"Pikachu VMAX Special Collection Case","Crown Zenith",509.99,509.99,509.99,1,0,0,0,0
134,"Evolving Skies Build & Battle Stadium","SWSH07: Evolving Skies",504.83,504.83,504.83,1,0,0,0,0
135,"Pokémon Blaine's Charizard","Gym Challenge",500,500,500,1,0,0,0,0
136,"Machamp Rare Base","Base Set",500,259.4,18.79,2,0,0,0,0
137,"Pikachu","Legendary Collection",499.99,87.05,0.53,7,0,0,0,0
138,"Pokémon 25th Anniversary","Celebrations",499.99,499.99,499.99,1,0,0,0,0
139,"DARK ENERGY UMBREON","Unknown Set",499.99,499.99,499.99,1,0,0,0,0
140,"Eevee","Legendary Collection",499.99,121.68,0.99,9,0,0,0,0
141,"9.5 Draco Dragonair","Unknown Set",499.95,499.95,499.95,1,0,0,0,0
142,"Encapsulated Pokémon Cards-","Unknown Set",499,499,499,1,0,0,0,0
143,"Battle Fire Red","Unknown Set",489.89,489.89,489.89,1,0,0,0,0
144,"Silver Tempest Booster Box","SWSH12: Silver Tempest",488.84,488.84,488.84,1,0,0,0,0
145,"Mewtwo","Legendary Collection",487.5,140.62,5.5,10,0,0,0,0
146,"Golem","Skyridge",484.99,319.64,186.57,6,0,0,0,0
147,"2000 Japanese Neo","Neo Genesis",475,475,475,1,0,0,0,0
148,"Team Rocket Booster Pack [1st Edition]","Team Rocket",467.34,467.34,467.34,1,0,0,0,0
149,"Base Set Booster Pack [Revised Unlimited Edition]","Base Set",465.25,465.25,465.25,1,0,0,0,0
150,"Suicune (14)","Neo Revelation",459.99,131.51,36.9,7,0,0,0,0
151,"Charizard","Base Set",457.49,296.27,186.23,5,0,0,0,0
152,"1999 Charmander Base","Base Set",455,455,455,1,0,0,0,0
153,"LOST THUNDER CUSTOM","Unknown Set",454.99,454.99,454.99,1,0,0,0,0
154,"Crown Zenith Pokemon Center Elite Trainer Box Plus","Crown Zenith",451.98,451.98,451.98,1,0,0,0,0
